X,Y,Z
-4.098409369,1.87200324,-1.375737566
-4.098424346,1.872001243,-1.378973011
-4.098439324,1.871999247,-1.382208456
-4.098454301,1.871997251,-1.3854439
-4.098469279,1.871995254,-1.388679345
-4.098485618,1.871993076,-1.392208921
-4.098500595,1.87199108,-1.395444365
-4.098515573,1.871989083,-1.39867981
-4.09853055,1.871987087,-1.401915255
-4.098546889,1.871984909,-1.405444831
-4.098561867,1.871982913,-1.408680275
-4.098576844,1.871980916,-1.41191572
-4.098591822,1.87197892,-1.415151164
-4.098606799,1.871976923,-1.418386609
-4.098623138,1.871974745,-1.421916185
-4.098638116,1.871972749,-1.425151629
-4.098653093,1.871970753,-1.428387074
-4.098668071,1.871968756,-1.431622519
-4.09868441,1.871966578,-1.435152095
-4.098699387,1.871964582,-1.438387539
-4.098714365,1.871962585,-1.441622984
-4.098729342,1.871960589,-1.444858428
-4.09874432,1.871958593,-1.448093873
-4.098760659,1.871956415,-1.451623449
-4.098775636,1.871954418,-1.454858893
-4.098790614,1.871952422,-1.458094338
-4.098805591,1.871950425,-1.461329783
-4.09882193,1.871948247,-1.464859359
-4.098836908,1.871946251,-1.468094803
-4.098851885,1.871944255,-1.471330248
-4.098866863,1.871942258,-1.474565692
-4.09888184,1.871940262,-1.477801137
-4.098898179,1.871938084,-1.481330713
-4.098913157,1.871936087,-1.484566157
-4.098928134,1.871934091,-1.487801602
-4.098943112,1.871932095,-1.491037047
-4.098958089,1.871930098,-1.494272491
-4.098974429,1.87192792,-1.497802067
-4.098989406,1.871925924,-1.501037512
-4.099004383,1.871923927,-1.504272956
-4.099019361,1.871921931,-1.507508401
-4.0990357,1.871919753,-1.511037977
-4.099050678,1.871917757,-1.514273422
-4.099065655,1.87191576,-1.517508866
-4.099080633,1.871913764,-1.520744311
-4.09909561,1.871911767,-1.523979755
-4.099111949,1.871909589,-1.527509331
-4.099126927,1.871907593,-1.530744776
-4.099141904,1.871905597,-1.53398022
-4.099156882,1.8719036,-1.537215665
-4.099173221,1.871901422,-1.540745241
-4.099188198,1.871899426,-1.543980686
-4.099203176,1.871897429,-1.54721613
-4.099218153,1.871895433,-1.550451575
-4.099233131,1.871893437,-1.553687019
-4.09924947,1.871891259,-1.557216595
-4.099264447,1.871889262,-1.56045204
-4.099279425,1.871887266,-1.563687484
-4.099294402,1.871885269,-1.566922929
-4.099310741,1.871883091,-1.570452505
-4.099325719,1.871881095,-1.57368795
-4.099340696,1.871879099,-1.576923394
-4.099355674,1.871877102,-1.580158839
-4.099370651,1.871875106,-1.583394283
-4.09938699,1.871872928,-1.586923859
-4.099401968,1.871870931,-1.590159304
-4.099416945,1.871868935,-1.593394748
-4.099431923,1.871866939,-1.596630193
-4.099448262,1.871864761,-1.600159769
-4.099463239,1.871862764,-1.603395214
-4.099478217,1.871860768,-1.606630658
-4.099493194,1.871858771,-1.609866103
-4.099508172,1.871856775,-1.613101547
-4.099524511,1.871854597,-1.616631123
-4.099539488,1.871852601,-1.619866568
-4.099554466,1.871850604,-1.623102013
-4.099569443,1.871848608,-1.626337457
-4.099585782,1.87184643,-1.629867033
-4.09960076,1.871844433,-1.633102478
-4.099615737,1.871842437,-1.636337922
-4.099630715,1.871840441,-1.639573367
-4.099645692,1.871838444,-1.642808811
-4.099662031,1.871836266,-1.646338387
-4.099677009,1.87183427,-1.649573832
-4.099691986,1.871832273,-1.652809277
-4.099706964,1.871830277,-1.656044721
-4.099723303,1.871828099,-1.659574297
-4.099738281,1.871826103,-1.662809742
-4.099753258,1.871824106,-1.666045186
-4.099768235,1.87182211,-1.669280631
-4.099783213,1.871820113,-1.672516075
-4.099799552,1.871817935,-1.676045651
-4.09981453,1.871815939,-1.679281096
-4.099829507,1.871813943,-1.682516541
-4.099844485,1.871811946,-1.685751985
-4.099860824,1.871809768,-1.689281561
-4.099875801,1.871807772,-1.692517006
-4.099890779,1.871805775,-1.69575245
-4.099905756,1.871803779,-1.698987895
-4.099920734,1.871801783,-1.702223339
-4.099937073,1.871799605,-1.705752915
-4.09995205,1.871797608,-1.70898836
-4.099967028,1.871795612,-1.712223805
-4.099982005,1.871793615,-1.715459249
-4.099996983,1.871791619,-1.718694694
-4.100013322,1.871789441,-1.72222427
-4.100028299,1.871787445,-1.725459714
-4.100043277,1.871785448,-1.728695159
-4.100058254,1.871783452,-1.731930603
-4.100074593,1.871781274,-1.735460179
-4.100089571,1.871779277,-1.738695624
-4.100104548,1.871777281,-1.741931069
-4.100119526,1.871775285,-1.745166513
-4.100134503,1.871773288,-1.748401958
-4.100150842,1.87177111,-1.751931534
-4.10016582,1.871769114,-1.755166978
-4.100180797,1.871767117,-1.758402423
-4.100195775,1.871765121,-1.761637868
-4.100212114,1.871762943,-1.765167443
-4.100227091,1.871760947,-1.768402888
-4.100242069,1.87175895,-1.771638333
-4.100257046,1.871756954,-1.774873777
-4.100272024,1.871754957,-1.778109222
-4.100288363,1.871752779,-1.781638798
-4.10030334,1.871750783,-1.784874242
-4.100318318,1.871748787,-1.788109687
-4.100333295,1.87174679,-1.791345132
-4.100349634,1.871744612,-1.794874707
-4.100364612,1.871742616,-1.798110152
-4.100379589,1.871740619,-1.801345597
-4.100394567,1.871738623,-1.804581041
-4.100409544,1.871736627,-1.807816486
-4.100425883,1.871734449,-1.811346062
-4.100440861,1.871732452,-1.814581506
-4.100455838,1.871730456,-1.817816951
-4.100470816,1.871728459,-1.821052396
-4.100487155,1.871726282,-1.824581972
-4.100502132,1.871724285,-1.827817416
-4.10051711,1.871722289,-1.831052861
-4.100532087,1.871720292,-1.834288305
-4.100547065,1.871718296,-1.83752375
-4.100563404,1.871716118,-1.841053326
-4.100578382,1.871714121,-1.84428877
-4.100593359,1.871712125,-1.847524215
-4.100608337,1.871710129,-1.85075966
-4.100624676,1.871707951,-1.854289236
-4.100639653,1.871705954,-1.85752468
-4.100654631,1.871703958,-1.860760125
-4.100669608,1.871701961,-1.863995569
-4.100684586,1.871699965,-1.867231014
-4.100700925,1.871697787,-1.87076059
-4.100715902,1.871695791,-1.873996034
-4.10073088,1.871693794,-1.877231479
-4.100745857,1.871691798,-1.880466924
-4.100762196,1.87168962,-1.8839965
-4.100777174,1.871687623,-1.887231944
-4.100792151,1.871685627,-1.890467389
-4.100807129,1.871683631,-1.893702833
-4.100822106,1.871681634,-1.896938278
-4.100838445,1.871679456,-1.900467854
-4.100853423,1.87167746,-1.903703298
-4.1008684,1.871675463,-1.906938743
-4.100883378,1.871673467,-1.910174188
-4.100898355,1.871671471,-1.913409632
-4.100914694,1.871669293,-1.916939208
