Format Version,1.22,Take Name,UASSAR4_rail_diagonal,Capture Frame Rate,360,Export Frame Rate,360,Capture Start Time,2018-07-20 09.54.20.680 AM,Total Frames in Take,7404,Total Exported Frames,7404,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global,,,,,,,,,,,,,,,,,,,,,,,,,
35,0.097222,0.035575,0.200327,0.074857,-0.976217,-3.821846,1.867959,0.752271,0,-3.730301,1.863805,0.82571,0.9379,-3.656836,1.859039,0.759612,0.946758,-3.725456,1.864672,0.690077,0.930151,-3.999209,1.876221,0.811666,0.960011,-3.997431,1.876058,0.674292,0.935762,-3.730301,1.863805,0.82571,-3.656836,1.859039,0.759612,-3.725456,1.864672,0.690077,-3.999209,1.876221,0.811666,-3.997431,1.876058,0.674292
36,0.1,0.035289,0.200151,0.07424,-0.976311,-3.821759,1.867918,0.752345,0,-3.73018,1.863859,0.825747,0.939726,-3.656734,1.859213,0.75962,0.946624,-3.725388,1.864779,0.690113,0.927202,-3.99911,1.875925,0.81181,0.973294,-3.997383,1.875811,0.674436,0.942518,-3.73018,1.863859,0.825747,-3.656734,1.859213,0.75962,-3.725388,1.864779,0.690113,-3.99911,1.875925,0.81181,-3.997383,1.875811,0.674436
37,0.102778,0.035428,0.200461,0.074647,-0.976211,-3.821795,1.867976,0.752319,0,-3.730268,1.863853,0.825781,0.935987,-3.656782,1.859134,0.759702,0.936741,-3.725386,1.864746,0.690149,0.926496,-3.999178,1.876143,0.811667,0.954064,-3.997362,1.876005,0.674293,0.938925,-3.730268,1.863853,0.825781,-3.656783,1.859134,0.759702,-3.725386,1.864746,0.690149,-3.999178,1.876143,0.811666,-3.997362,1.876005,0.674293
38,0.105556,0.036337,0.200328,0.074422,-0.976222,-3.821832,1.868072,0.752265,0,-3.730274,1.86409,0.825696,0.935987,-3.656816,1.859254,0.759596,0.936741,-3.725449,1.864734,0.690062,0.926496,-3.999191,1.876336,0.811671,0.954064,-3.997432,1.875945,0.674298,0.938925,-3.730274,1.86409,0.825696,-3.656816,1.859254,0.759596,-3.725449,1.864734,0.690062,-3.999191,1.876336,0.811671,-3.997432,1.875945,0.674298
39,0.108333,0.034955,0.200354,0.074581,-0.976255,-3.821892,1.868128,0.752349,0,-3.730352,1.863966,0.825792,0.938224,-3.656875,1.859332,0.759698,0.937892,-3.725492,1.864986,0.690161,0.921902,-3.999268,1.876184,0.811732,0.975783,-3.997474,1.876173,0.674359,0.960338,-3.730352,1.863966,0.825792,-3.656875,1.859332,0.759698,-3.725492,1.864986,0.690161,-3.999268,1.876184,0.811732,-3.997474,1.876173,0.674359
40,0.111111,0.035999,0.200431,0.074722,-0.976191,-3.821849,1.867956,0.752383,0,-3.730314,1.863877,0.825837,0.938224,-3.656838,1.859059,0.759755,0.937892,-3.725449,1.864622,0.690204,0.921902,-3.999221,1.876254,0.811745,0.975783,-3.997423,1.875967,0.674372,0.960338,-3.730314,1.863877,0.825837,-3.656838,1.859059,0.759755,-3.725449,1.864622,0.690204,-3.999221,1.876254,0.811745,-3.997423,1.875967,0.674372
41,0.113889,0.035557,0.200346,0.074656,-0.976229,-3.82183,1.867995,0.752314,0,-3.730285,1.863881,0.825754,0.929265,-3.656816,1.859142,0.759658,0.936194,-3.725437,1.864743,0.690121,0.893734,-3.999198,1.876188,0.811704,0.961866,-3.997416,1.876019,0.674331,0.93927,-3.730285,1.863881,0.825754,-3.656816,1.859142,0.759658,-3.725437,1.864743,0.690121,-3.999198,1.876188,0.811704,-3.997416,1.876019,0.674331
42,0.116667,0.035401,0.200229,0.074767,-0.976251,-3.821827,1.86798,0.752325,0,-3.730268,1.863825,0.825744,0.934757,-3.656813,1.859098,0.759632,0.948073,-3.725448,1.864736,0.690111,0.928713,-3.999181,1.876179,0.811755,0.958016,-3.997428,1.876061,0.674381,0.946599,-3.730268,1.863825,0.825744,-3.656813,1.859098,0.759632,-3.725448,1.864736,0.690111,-3.999181,1.876179,0.811755,-3.997428,1.876061,0.674381
43,0.119444,0.036027,0.200313,0.074513,-0.97623,-3.821889,1.86805,0.752246,0,-3.730332,1.864016,0.825677,0.934757,-3.656873,1.859219,0.759575,0.948073,-3.725504,1.864747,0.690042,0.928713,-3.999248,1.876285,0.811654,0.958016,-3.997486,1.875983,0.67428,0.946599,-3.730332,1.864016,0.825677,-3.656873,1.859219,0.759575,-3.725504,1.864747,0.690042,-3.999248,1.876285,0.811654,-3.997486,1.875983,0.67428
44,0.122222,0.036232,0.20053,0.074377,-0.976188,-3.821897,1.868063,0.752286,0,-3.73037,1.864082,0.825756,0.921312,-3.656883,1.859267,0.759686,0.937753,-3.725487,1.864748,0.690123,0.936954,-3.999282,1.876293,0.81162,0.944562,-3.997465,1.875924,0.674247,0.946482,-3.73037,1.864082,0.825756,-3.656883,1.859267,0.759686,-3.725487,1.864748,0.690123,-3.999282,1.876293,0.81162,-3.997465,1.875924,0.674247
45,0.125,0.035775,0.200373,0.074851,-0.976201,-3.821854,1.867925,0.752369,0,-3.730314,1.863794,0.825815,0.921204,-3.656844,1.858997,0.759724,0.933432,-3.725459,1.864606,0.690182,0.895632,-3.99922,1.876223,0.811748,0.950803,-3.997432,1.876004,0.674375,0.947586,-3.730314,1.863794,0.825815,-3.656844,1.858997,0.759724,-3.725459,1.864606,0.690182,-3.99922,1.876223,0.811748,-3.997432,1.876004,0.674375
46,0.127778,0.034865,0.200172,0.074476,-0.976304,-3.821728,1.867897,0.75238,0,-3.73016,1.863745,0.825789,0.921204,-3.656707,1.859138,0.759667,0.933432,-3.72535,1.864788,0.690156,0.895632,-3.999084,1.875902,0.811831,0.950803,-3.997341,1.875914,0.674457,0.947586,-3.73016,1.863745,0.825789,-3.656707,1.859138,0.759667,-3.72535,1.864788,0.690156,-3.999084,1.875902,0.811831,-3.997341,1.875914,0.674457
47,0.130556,0.035127,0.200285,0.075336,-0.976205,-3.821837,1.868094,0.752256,0,-3.730297,1.863792,0.825692,0.910902,-3.656834,1.859041,0.759591,0.934876,-3.725448,1.864801,0.69006,0.890731,-3.999195,1.876428,0.811655,0.946919,-3.997413,1.87641,0.674282,0.923113,-3.730297,1.863792,0.825692,-3.656834,1.859041,0.759591,-3.725448,1.864801,0.69006,-3.999195,1.876428,0.811655,-3.997413,1.87641,0.674282
