Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
36,0.100000,0.004683,0.063138,0.009283,-0.997951,-3.250269,1.081961,0.575907,0.000000,-3.472092,1.074027,0.578583,0.881134,-3.388797,1.156969,0.576051,0.899468,-3.160751,1.058289,0.581557,0.927932,-3.116067,1.058323,0.476913,0.861369,-3.113638,1.062196,0.666432,0.936251,-3.472092,1.074027,0.578583,-3.388797,1.156969,0.576051,-3.160751,1.058289,0.581557,-3.116067,1.058323,0.476913,-3.113638,1.062196,0.666432,,,,,,,,,
37,0.102778,0.006288,0.062420,0.009114,-0.997989,-3.250132,1.082047,0.575990,0.000000,-3.471950,1.074094,0.579018,0.934777,-3.388669,1.157038,0.576097,0.947817,-3.160603,1.058405,0.581584,0.929230,-3.116072,1.058108,0.476875,0.909224,-3.113366,1.062590,0.666377,0.958558,-3.471950,1.074094,0.579018,-3.388669,1.157038,0.576097,-3.160603,1.058405,0.581584,-3.116072,1.058108,0.476875,-3.113366,1.062590,0.666377,,,,,,,,,
38,0.105556,0.005535,0.062503,0.009066,-0.997988,-3.250314,1.081985,0.575938,0.000000,-3.472131,1.073985,0.578915,0.934641,-3.388865,1.156950,0.576132,0.948208,-3.160781,1.058352,0.581513,0.921250,-3.116232,1.058220,0.476811,0.892374,-3.113560,1.062419,0.666321,0.970303,-3.472131,1.073985,0.578915,-3.388865,1.156950,0.576132,-3.160781,1.058352,0.581513,-3.116232,1.058220,0.476811,-3.113560,1.062419,0.666321,,,,,,,,,
39,0.108333,0.005353,0.062618,0.009044,-0.997982,-3.250308,1.081930,0.576002,0.000000,-3.472125,1.073914,0.578924,0.912983,-3.388864,1.156885,0.576191,0.965551,-3.160774,1.058301,0.581590,0.911723,-3.116201,1.058210,0.476898,0.881874,-3.113574,1.062341,0.666410,0.926212,-3.472125,1.073914,0.578924,-3.388864,1.156885,0.576191,-3.160774,1.058301,0.581590,-3.116201,1.058210,0.476898,-3.113574,1.062341,0.666410,,,,,,,,,
40,0.111111,0.005685,0.062723,0.009329,-0.997971,-3.250173,1.081973,0.575987,0.000000,-3.471996,1.074093,0.578868,0.912983,-3.388684,1.157012,0.576100,0.965551,-3.160656,1.058293,0.581608,0.911723,-3.116061,1.058108,0.476926,0.881874,-3.113470,1.062357,0.666435,0.926212,-3.471996,1.074093,0.578868,-3.388684,1.157012,0.576100,-3.160656,1.058293,0.581608,-3.116061,1.058108,0.476926,-3.113470,1.062357,0.666435,,,,,,,,,
41,0.113889,0.005632,0.062607,0.008718,-0.997984,-3.250238,1.081956,0.575925,0.000000,-3.472050,1.073804,0.578858,0.935061,-3.388841,1.156825,0.576073,0.949499,-3.160690,1.058385,0.581524,0.925161,-3.116120,1.058259,0.476831,0.911725,-3.113489,1.062505,0.666340,0.962446,-3.472050,1.073804,0.578858,-3.388841,1.156825,0.576073,-3.160690,1.058385,0.581524,-3.116120,1.058259,0.476831,-3.113489,1.062505,0.666340,,,,,,,,,
42,0.116667,0.006106,0.062527,0.008634,-0.997987,-3.250219,1.082093,0.575935,0.000000,-3.472030,1.073921,0.578914,0.889335,-3.388830,1.156948,0.576035,0.894140,-3.160668,1.058537,0.581541,0.917094,-3.116116,1.058316,0.476841,0.881568,-3.113453,1.062743,0.666345,0.960926,-3.472030,1.073921,0.578914,-3.388830,1.156948,0.576035,-3.160668,1.058537,0.581541,-3.116116,1.058316,0.476841,-3.113453,1.062743,0.666345,,,,,,,,,
43,0.119444,0.005805,0.062479,0.008945,-0.997989,-3.250241,1.081989,0.575955,0.000000,-3.472056,1.073945,0.578948,0.901914,-3.388808,1.156925,0.576115,0.938054,-3.160703,1.058377,0.581538,0.900511,-3.116159,1.058197,0.476834,0.868255,-3.113478,1.062501,0.666341,0.844695,-3.472056,1.073945,0.578948,-3.388808,1.156925,0.576115,-3.160703,1.058377,0.581538,-3.116159,1.058197,0.476834,-3.113478,1.062501,0.666341,,,,,,,,,
44,0.122222,0.005503,0.062703,0.008900,-0.997977,-3.250193,1.081940,0.575937,0.000000,-3.472008,1.073865,0.578824,0.885266,-3.388769,1.156858,0.576078,0.888972,-3.160654,1.058337,0.581546,0.923849,-3.116063,1.058224,0.476862,0.898447,-3.113468,1.062417,0.666373,0.959209,-3.472008,1.073865,0.578824,-3.388769,1.156858,0.576078,-3.160654,1.058337,0.581546,-3.116063,1.058224,0.476862,-3.113468,1.062417,0.666373,,,,,,,,,
45,0.125000,0.006300,0.062572,0.008690,-0.997983,-3.250254,1.081955,0.575999,0.000000,-3.472066,1.073814,0.578961,0.931641,-3.388854,1.156828,0.576058,0.963463,-3.160706,1.058389,0.581621,0.909045,-3.116144,1.058122,0.476925,0.896792,-3.113498,1.062621,0.666428,0.939368,-3.472066,1.073814,0.578961,-3.388854,1.156828,0.576058,-3.160706,1.058389,0.581621,-3.116144,1.058122,0.476925,-3.113498,1.062621,0.666428,,,,,,,,,
46,0.127778,0.005625,0.062558,0.008408,-0.997990,-3.250339,1.081792,0.576040,0.000000,-3.472146,1.073503,0.578996,0.931641,-3.388988,1.156575,0.576200,0.963463,-3.160776,1.058277,0.581630,0.909045,-3.116216,1.058176,0.476933,0.896792,-3.113569,1.062428,0.666441,0.939368,-3.472146,1.073503,0.578996,-3.388988,1.156575,0.576200,-3.160776,1.058277,0.581630,-3.116216,1.058176,0.476933,-3.113569,1.062428,0.666441,,,,,,,,,
47,0.130556,0.005421,0.063015,0.009069,-0.997957,-3.250295,1.081946,0.575856,0.000000,-3.472115,1.073942,0.578602,0.938037,-3.388847,1.156908,0.575923,0.948346,-3.160768,1.058312,0.581517,0.922457,-3.116111,1.058204,0.476861,0.899623,-3.113634,1.062361,0.666374,0.958720,-3.472115,1.073942,0.578602,-3.388847,1.156908,0.575923,-3.160768,1.058312,0.581517,-3.116111,1.058204,0.476861,-3.113634,1.062361,0.666374,,,,,,,,,
48,0.133333,0.006119,0.063004,0.009214,-0.997952,-3.250293,1.082068,0.575864,0.000000,-3.472116,1.074152,0.578629,0.895470,-3.388818,1.157083,0.575834,0.948822,-3.160775,1.058409,0.581556,0.891764,-3.116122,1.058140,0.476898,0.922936,-3.113637,1.062557,0.666405,0.929031,-3.472116,1.074152,0.578629,-3.388818,1.157083,0.575834,-3.160775,1.058409,0.581556,-3.116122,1.058140,0.476898,-3.113637,1.062557,0.666405,,,,,,,,,
49,0.136111,0.005921,0.062792,0.009028,-0.997968,-3.250249,1.081982,0.575967,0.000000,-3.472067,1.073977,0.578823,0.932702,-3.388803,1.156941,0.576023,0.948480,-3.160718,1.058355,0.581612,0.924929,-3.116110,1.058143,0.476936,0.900004,-3.113546,1.062490,0.666443,0.970464,-3.472067,1.073977,0.578823,-3.388803,1.156941,0.576023,-3.160718,1.058355,0.581612,-3.116110,1.058143,0.476936,-3.113546,1.062490,0.666443,,,,,,,,,
50,0.138889,0.005855,0.062725,0.008751,-0.997975,-3.250237,1.082013,0.575910,0.000000,-3.472051,1.073884,0.578795,0.933280,-3.388833,1.156895,0.575992,0.958336,-3.160693,1.058436,0.581539,0.909127,-3.116099,1.058259,0.476857,0.880741,-3.113511,1.062589,0.666364,0.951153,-3.472051,1.073884,0.578795,-3.388833,1.156895,0.575992,-3.160693,1.058436,0.581539,-3.116099,1.058259,0.476857,-3.113511,1.062589,0.666364,,,,,,,,,
51,0.141667,0.006496,0.062618,0.008023,-0.997984,-3.250194,1.081773,0.575951,0.000000,-3.471995,1.073344,0.578900,0.933280,-3.388892,1.156465,0.575964,0.958336,-3.160616,1.058327,0.581593,0.909127,-3.116045,1.058068,0.476900,0.880741,-3.113420,1.062661,0.666401,0.951153,-3.471995,1.073344,0.578900,-3.388892,1.156465,0.575964,-3.160616,1.058327,0.581593,-3.116045,1.058068,0.476900,-3.113420,1.062661,0.666401,,,,,,,,,
52,0.144444,0.006405,0.062527,0.008961,-0.997983,-3.250225,1.081976,0.575954,0.000000,-3.472041,1.073959,0.578937,0.927384,-3.388784,1.156926,0.576012,0.936581,-3.160690,1.058362,0.581573,0.916639,-3.116138,1.058051,0.476873,0.894486,-3.113472,1.062582,0.666375,0.958092,-3.472041,1.073959,0.578937,-3.388784,1.156926,0.576012,-3.160690,1.058362,0.581573,-3.116138,1.058051,0.476873,-3.113472,1.062582,0.666375,,,,,,,,,
53,0.147222,0.004898,0.062991,0.008498,-0.997966,-3.250293,1.081746,0.575948,0.000000,-3.472102,1.073473,0.578696,0.930200,-3.388935,1.156541,0.576094,0.933842,-3.160736,1.058215,0.581582,0.918255,-3.116085,1.058263,0.476924,0.896112,-3.113604,1.062239,0.666441,0.960423,-3.472102,1.073473,0.578696,-3.388935,1.156541,0.576094,-3.160736,1.058215,0.581582,-3.116085,1.058263,0.476924,-3.113604,1.062239,0.666441,,,,,,,,,
54,0.150000,0.006180,0.062228,0.009005,-0.998002,-3.250335,1.081997,0.575934,0.000000,-3.472149,1.073992,0.579045,0.931409,-3.388889,1.156956,0.576108,0.942358,-3.160798,1.058374,0.581489,0.909976,-3.116307,1.058109,0.476762,0.878248,-3.113529,1.062553,0.666264,0.950350,-3.472149,1.073992,0.579045,-3.388889,1.156956,0.576108,-3.160798,1.058374,0.581489,-3.116307,1.058109,0.476762,-3.113529,1.062553,0.666264,,,,,,,,,
55,0.152778,0.005589,0.062990,0.008923,-0.997959,-3.250209,1.081904,0.575917,0.000000,-3.472027,1.073842,0.578679,0.938122,-3.388782,1.156829,0.575966,0.943419,-3.160675,1.058297,0.581583,0.923770,-3.116024,1.058164,0.476924,0.905155,-3.113538,1.062389,0.666435,0.959103,-3.472027,1.073842,0.578679,-3.388782,1.156829,0.575966,-3.160675,1.058297,0.581583,-3.116024,1.058164,0.476924,-3.113538,1.062389,0.666435,,,,,,,,,
56,0.155556,0.005759,0.062744,0.009315,-0.997970,-3.250298,1.081935,0.575956,0.000000,-3.472120,1.074052,0.578829,0.942704,-3.388810,1.156971,0.576052,0.953445,-3.160780,1.058257,0.581584,0.933001,-3.116181,1.058058,0.476904,0.901145,-3.113598,1.062335,0.666413,0.965269,-3.472120,1.074052,0.578829,-3.388810,1.156971,0.576052,-3.160780,1.058257,0.581584,-3.116181,1.058058,0.476904,-3.113598,1.062335,0.666413,,,,,,,,,
57,0.158333,0.005454,0.063195,0.009024,-0.997945,-3.250251,1.081915,0.575929,0.000000,-3.472071,1.073892,0.578596,0.942704,-3.388810,1.156865,0.575941,0.953445,-3.160724,1.058290,0.581625,0.933001,-3.116030,1.058178,0.476985,0.901145,-3.113621,1.062350,0.666498,0.965269,-3.472071,1.073892,0.578596,-3.388810,1.156865,0.575941,-3.160724,1.058290,0.581625,-3.116030,1.058178,0.476985,-3.113621,1.062350,0.666498,,,,,,,,,
58,0.161111,0.005862,0.062923,0.009375,-0.997957,-3.250364,1.081971,0.575955,0.000000,-3.472189,1.074118,0.578750,0.929119,-3.388867,1.157026,0.575986,0.958536,-3.160851,1.058283,0.581620,0.903636,-3.116215,1.058057,0.476955,0.884415,-3.113699,1.062372,0.666464,0.908269,-3.472189,1.074118,0.578750,-3.388867,1.157026,0.575986,-3.160851,1.058283,0.581620,-3.116215,1.058057,0.476955,-3.113699,1.062372,0.666464,,,,,,,,,
59,0.163889,0.005528,0.062728,0.008637,-0.997978,-3.250178,1.081823,0.576094,0.000000,-3.471989,1.073632,0.578972,0.935175,-3.388793,1.156668,0.576223,0.925069,-3.160627,1.058267,0.581710,0.917719,-3.116031,1.058169,0.477028,0.919562,-3.113447,1.062378,0.666538,0.954933,-3.471989,1.073632,0.578972,-3.388793,1.156668,0.576223,-3.160627,1.058267,0.581710,-3.116031,1.058169,0.477028,-3.113447,1.062378,0.666538,,,,,,,,,
60,0.166667,0.004650,0.063104,0.008618,-0.997959,-3.250286,1.081750,0.575951,0.000000,-3.472098,1.073521,0.578644,0.924917,-3.388913,1.156574,0.576104,0.947963,-3.160736,1.058198,0.581594,0.900347,-3.116060,1.058289,0.476947,0.870103,-3.113622,1.062169,0.666466,0.918451,-3.472098,1.073521,0.578644,-3.388913,1.156574,0.576104,-3.160736,1.058198,0.581594,-3.116060,1.058289,0.476947,-3.113622,1.062169,0.666466,,,,,,,,,
61,0.169444,0.005702,0.062805,0.009194,-0.997967,-3.250269,1.082034,0.575936,0.000000,-3.472090,1.074095,0.578781,0.913931,-3.388800,1.157036,0.576022,0.954002,-3.160746,1.058378,0.581573,0.897667,-3.116134,1.058200,0.476898,0.894044,-3.113575,1.062460,0.666407,0.934270,-3.472090,1.074095,0.578781,-3.388800,1.157036,0.576022,-3.160746,1.058378,0.581573,-3.116134,1.058200,0.476898,-3.113575,1.062460,0.666407,,,,,,,,,
62,0.172222,0.005013,0.062812,0.008717,-0.997975,-3.250360,1.081623,0.575959,0.000000,-3.472172,1.073450,0.578789,0.913931,-3.388968,1.156481,0.576141,0.954002,-3.160812,1.058053,0.581567,0.897667,-3.116198,1.058059,0.476893,0.894044,-3.113647,1.062072,0.666407,0.934270,-3.472172,1.073450,0.578789,-3.388968,1.156481,0.576141,-3.160812,1.058053,0.581567,-3.116198,1.058059,0.476893,-3.113647,1.062072,0.666407,,,,,,,,,
63,0.175000,0.006390,0.062491,0.008972,-0.997985,-3.250274,1.082067,0.575908,0.000000,-3.472090,1.074054,0.578907,0.925471,-3.388831,1.157020,0.575979,0.947309,-3.160739,1.058450,0.581520,0.896532,-3.116194,1.058142,0.476817,0.873189,-3.113515,1.062667,0.666319,0.921929,-3.472090,1.074054,0.578907,-3.388831,1.157020,0.575979,-3.160739,1.058450,0.581520,-3.116194,1.058142,0.476817,-3.113515,1.062667,0.666319,,,,,,,,,
64,0.177778,0.005016,0.062557,0.009060,-0.997988,-3.250356,1.081906,0.576028,0.000000,-3.472172,1.073886,0.578970,0.923961,-3.388913,1.156859,0.576283,0.962665,-3.160822,1.058273,0.581589,0.904889,-3.116261,1.058254,0.476892,0.880426,-3.113611,1.062257,0.666405,0.934844,-3.472172,1.073886,0.578970,-3.388913,1.156859,0.576283,-3.160822,1.058273,0.581589,-3.116261,1.058254,0.476892,-3.113611,1.062257,0.666405,,,,,,,,,
65,0.180556,0.005103,0.063028,0.009007,-0.997958,-3.250237,1.081939,0.575881,0.000000,-3.472055,1.073897,0.578615,0.874924,-3.388802,1.156878,0.575991,0.902784,-3.160706,1.058316,0.581531,0.899194,-3.116046,1.058281,0.476876,0.876707,-3.113575,1.062320,0.666391,0.909416,-3.472055,1.073897,0.578615,-3.388802,1.156878,0.575991,-3.160706,1.058316,0.581531,-3.116046,1.058281,0.476876,-3.113575,1.062320,0.666391,,,,,,,,,
66,0.183333,0.005431,0.062756,0.009416,-0.997970,-3.250333,1.081978,0.575918,0.000000,-3.472157,1.074129,0.578778,0.894109,-3.388833,1.157037,0.576059,0.919783,-3.160819,1.058282,0.581533,0.865941,-3.116216,1.058146,0.476853,0.882784,-3.113638,1.062297,0.666365,0.852808,-3.472157,1.074129,0.578778,-3.388833,1.157037,0.576059,-3.160819,1.058282,0.581533,-3.116216,1.058146,0.476853,-3.113638,1.062297,0.666365,,,,,,,,,
67,0.186111,0.005428,0.062810,0.008771,-0.997972,-3.250249,1.081982,0.575980,0.000000,-3.472063,1.073847,0.578819,0.922500,-3.388846,1.156862,0.576102,0.941208,-3.160705,1.058401,0.581606,0.911433,-3.116092,1.058315,0.476931,0.909183,-3.113539,1.062483,0.666443,0.969345,-3.472063,1.073847,0.578819,-3.388846,1.156862,0.576102,-3.160705,1.058401,0.581606,-3.116092,1.058315,0.476931,-3.113539,1.062483,0.666443,,,,,,,,,
68,0.188889,0.006365,0.062415,0.008437,-0.997994,-3.250133,1.081865,0.575974,0.000000,-3.471940,1.073615,0.579009,0.922500,-3.388770,1.156670,0.576066,0.941208,-3.160572,1.058344,0.581572,0.911433,-3.116043,1.058082,0.476862,0.909183,-3.113339,1.062613,0.666363,0.969345,-3.471940,1.073615,0.579009,-3.388770,1.156670,0.576066,-3.160572,1.058344,0.581572,-3.116043,1.058082,0.476862,-3.113339,1.062613,0.666363,,,,,,,,,
69,0.191667,0.005710,0.062666,0.009327,-0.997975,-3.250169,1.081936,0.575944,0.000000,-3.471991,1.074057,0.578850,0.928698,-3.388679,1.156975,0.576069,0.960330,-3.160650,1.058256,0.581556,0.908660,-3.116067,1.058066,0.476869,0.885178,-3.113455,1.062325,0.666377,0.947281,-3.471991,1.074057,0.578850,-3.388679,1.156975,0.576069,-3.160650,1.058256,0.581556,-3.116067,1.058066,0.476869,-3.113455,1.062325,0.666377,,,,,,,,,
70,0.194444,0.006274,0.062632,0.009088,-0.997976,-3.250157,1.082027,0.575966,0.000000,-3.471976,1.074061,0.578899,0.895639,-3.388699,1.157010,0.576015,0.933840,-3.160629,1.058389,0.581598,0.881796,-3.116054,1.058097,0.476907,0.879458,-3.113428,1.062576,0.666411,0.829262,-3.471976,1.074061,0.578899,-3.388699,1.157010,0.576015,-3.160629,1.058389,0.581598,-3.116054,1.058097,0.476907,-3.113428,1.062576,0.666411,,,,,,,,,
71,0.197222,0.006134,0.062493,0.008822,-0.997988,-3.250282,1.082010,0.575947,0.000000,-3.472095,1.073922,0.578940,0.922247,-3.388864,1.156917,0.576053,0.957614,-3.160739,1.058420,0.581548,0.901162,-3.116194,1.058178,0.476844,0.886958,-3.113517,1.062611,0.666348,0.917912,-3.472095,1.073922,0.578940,-3.388864,1.156917,0.576053,-3.160739,1.058420,0.581548,-3.116194,1.058178,0.476844,-3.113517,1.062611,0.666348,,,,,,,,,
72,0.200000,0.005905,0.062592,0.008592,-0.997985,-3.250189,1.081780,0.575982,0.000000,-3.471999,1.073583,0.578927,0.937037,-3.388807,1.156619,0.576092,0.942959,-3.160635,1.058231,0.581590,0.922951,-3.116069,1.058056,0.476896,0.907859,-3.113432,1.062409,0.666402,0.960513,-3.471999,1.073583,0.578927,-3.388807,1.156619,0.576092,-3.160635,1.058231,0.581590,-3.116069,1.058056,0.476896,-3.113432,1.062409,0.666402,,,,,,,,,
73,0.202778,0.005870,0.062671,0.009172,-0.997975,-3.250292,1.082035,0.575938,0.000000,-3.472111,1.074093,0.578846,0.923258,-3.388824,1.157035,0.576036,0.960690,-3.160767,1.058383,0.581558,0.902983,-3.116183,1.058171,0.476871,0.880652,-3.113573,1.062494,0.666378,0.927722,-3.472111,1.074093,0.578846,-3.388824,1.157035,0.576036,-3.160767,1.058383,0.581558,-3.116183,1.058171,0.476871,-3.113573,1.062494,0.666378,,,,,,,,,
74,0.205556,0.005468,0.062691,0.009025,-0.997977,-3.250269,1.081990,0.575998,0.000000,-3.472087,1.073970,0.578890,0.923258,-3.388828,1.156942,0.576149,0.960690,-3.160737,1.058364,0.581604,0.902983,-3.116148,1.058250,0.476919,0.880652,-3.113548,1.062425,0.666430,0.927722,-3.472087,1.073970,0.578890,-3.388828,1.156942,0.576149,-3.160737,1.058364,0.581604,-3.116148,1.058250,0.476919,-3.113548,1.062425,0.666430,,,,,,,,,
75,0.208333,0.005369,0.062916,0.008832,-0.997965,-3.250161,1.081924,0.575980,0.000000,-3.471976,1.073814,0.578770,0.935438,-3.388749,1.156820,0.576081,0.951618,-3.160621,1.058333,0.581622,0.925290,-3.115985,1.058254,0.476957,0.900881,-3.113472,1.062399,0.666470,0.971761,-3.471976,1.073814,0.578770,-3.388749,1.156820,0.576081,-3.160621,1.058333,0.581622,-3.115985,1.058254,0.476957,-3.113472,1.062399,0.666470,,,,,,,,,
76,0.211111,0.005790,0.062786,0.009348,-0.997966,-3.250258,1.081989,0.575919,0.000000,-3.472081,1.074121,0.578773,0.932714,-3.388765,1.157035,0.575998,0.949124,-3.160742,1.058305,0.581556,0.909887,-3.116134,1.058097,0.476879,0.897897,-3.113567,1.062385,0.666388,0.948715,-3.472081,1.074121,0.578773,-3.388765,1.157035,0.575998,-3.160742,1.058305,0.581556,-3.116134,1.058097,0.476879,-3.113567,1.062385,0.666388,,,,,,,,,
77,0.213889,0.004561,0.063080,0.008735,-0.997960,-3.250304,1.081756,0.575984,0.000000,-3.472118,1.073575,0.578686,0.896268,-3.388915,1.156610,0.576158,0.966366,-3.160759,1.058182,0.581619,0.903094,-3.116088,1.058284,0.476969,0.931330,-3.113641,1.062126,0.666489,0.959183,-3.472118,1.073575,0.578686,-3.388915,1.156610,0.576158,-3.160759,1.058182,0.581619,-3.116088,1.058284,0.476969,-3.113641,1.062126,0.666489,,,,,,,,,
78,0.216667,0.005441,0.062767,0.009005,-0.997973,-3.250331,1.081858,0.575893,0.000000,-3.472149,1.073827,0.578751,0.919065,-3.388893,1.156803,0.576027,0.928005,-3.160798,1.058236,0.581512,0.905700,-3.116194,1.058128,0.476833,0.903415,-3.113623,1.062295,0.666345,0.964756,-3.472149,1.073827,0.578751,-3.388893,1.156803,0.576027,-3.160798,1.058236,0.581512,-3.116194,1.058128,0.476833,-3.113623,1.062295,0.666345,,,,,,,,,
79,0.219444,0.005149,0.062757,0.009115,-0.997974,-3.250214,1.081904,0.575946,0.000000,-3.472033,1.073912,0.578802,0.919065,-3.388762,1.156874,0.576127,0.928005,-3.160686,1.058262,0.581549,0.905700,-3.116083,1.058209,0.476870,0.903415,-3.113508,1.062261,0.666384,0.964756,-3.472033,1.073912,0.578802,-3.388762,1.156874,0.576127,-3.160686,1.058262,0.581549,-3.116083,1.058209,0.476870,-3.113508,1.062261,0.666384,,,,,,,,,
80,0.222222,0.005357,0.062647,0.008858,-0.997982,-3.250175,1.081779,0.576057,0.000000,-3.471990,1.073680,0.578966,0.925123,-3.388760,1.156682,0.576235,0.960507,-3.160634,1.058182,0.581650,0.931706,-3.116055,1.058105,0.476961,0.915242,-3.113439,1.062243,0.666472,0.975215,-3.471990,1.073680,0.578966,-3.388760,1.156682,0.576235,-3.160634,1.058182,0.581650,-3.116055,1.058105,0.476961,-3.113439,1.062243,0.666472,,,,,,,,,
81,0.225000,0.005271,0.062799,0.009202,-0.997970,-3.250242,1.081897,0.576062,0.000000,-3.472062,1.073948,0.578901,0.935787,-3.388776,1.156894,0.576213,0.950498,-3.160718,1.058240,0.581678,0.926724,-3.116106,1.058154,0.477003,0.911545,-3.113547,1.062251,0.666516,0.962161,-3.472062,1.073948,0.578901,-3.388776,1.156894,0.576213,-3.160718,1.058240,0.581678,-3.116106,1.058154,0.477003,-3.113547,1.062251,0.666516,,,,,,,,,
82,0.227778,0.005401,0.063014,0.009430,-0.997954,-3.250272,1.082006,0.575881,0.000000,-3.472097,1.074161,0.578626,0.925056,-3.388770,1.157067,0.575955,0.958267,-3.160761,1.058307,0.581541,0.911490,-3.116105,1.058176,0.476885,0.895834,-3.113625,1.062316,0.666398,0.938576,-3.472097,1.074161,0.578626,-3.388770,1.157067,0.575955,-3.160761,1.058307,0.581541,-3.116105,1.058176,0.476885,-3.113625,1.062316,0.666398,,,,,,,,,
83,0.230556,0.005475,0.062955,0.009439,-0.997957,-3.250305,1.081998,0.575919,0.000000,-3.472131,1.074160,0.578692,0.924936,-3.388802,1.157063,0.575999,0.947711,-3.160795,1.058298,0.581572,0.896528,-3.116151,1.058150,0.476910,0.911504,-3.113648,1.062317,0.666423,0.948884,-3.472131,1.074160,0.578692,-3.388802,1.157063,0.575999,-3.160795,1.058298,0.581572,-3.116151,1.058150,0.476910,-3.113648,1.062317,0.666423,,,,,,,,,
84,0.233333,0.005489,0.063035,0.009199,-0.997954,-3.250304,1.082094,0.575903,0.000000,-3.472126,1.074150,0.578641,0.930642,-3.388836,1.157094,0.575956,0.938294,-3.160783,1.058438,0.581571,0.857485,-3.116122,1.058305,0.476917,0.898467,-3.113651,1.062485,0.666429,0.905782,-3.472126,1.074150,0.578641,-3.388836,1.157094,0.575956,-3.160783,1.058438,0.581571,-3.116122,1.058305,0.476917,-3.113651,1.062485,0.666429,,,,,,,,,
85,0.236111,0.005909,0.062621,0.009028,-0.997979,-3.250318,1.081969,0.576017,0.000000,-3.472135,1.073965,0.578949,0.930642,-3.388872,1.156929,0.576123,0.938294,-3.160786,1.058343,0.581631,0.857485,-3.116213,1.058134,0.476939,0.898467,-3.113584,1.062476,0.666446,0.905782,-3.472135,1.073965,0.578949,-3.388872,1.156929,0.576123,-3.160786,1.058343,0.581631,-3.116213,1.058134,0.476939,-3.113584,1.062476,0.666446,,,,,,,,,
86,0.238889,0.005173,0.062947,0.009105,-0.997962,-3.250341,1.081935,0.575930,0.000000,-3.472161,1.073939,0.578702,0.933093,-3.388891,1.156903,0.576054,0.943927,-3.160814,1.058295,0.581568,0.922486,-3.116172,1.058237,0.476906,0.897460,-3.113669,1.062300,0.666421,0.971069,-3.472161,1.073939,0.578702,-3.388891,1.156903,0.576054,-3.160814,1.058295,0.581568,-3.116172,1.058237,0.476906,-3.113669,1.062300,0.666421,,,,,,,,,
87,0.241667,0.005447,0.062650,0.008572,-0.997984,-3.250132,1.081789,0.575999,0.000000,-3.471942,1.073567,0.578910,0.857903,-3.388758,1.156615,0.576161,0.886770,-3.160577,1.058244,0.581598,0.888876,-3.115998,1.058169,0.476909,0.916313,-3.113385,1.062350,0.666419,0.947064,-3.471942,1.073567,0.578910,-3.388758,1.156615,0.576161,-3.160577,1.058244,0.581598,-3.115998,1.058169,0.476909,-3.113385,1.062350,0.666419,,,,,,,,,
88,0.244444,0.005296,0.062930,0.008627,-0.997967,-3.250236,1.081689,0.576001,0.000000,-3.472048,1.073486,0.578784,0.932126,-3.388855,1.156527,0.576107,0.928387,-3.160686,1.058135,0.581642,0.907647,-3.116048,1.058087,0.476979,0.900599,-3.113541,1.062210,0.666492,0.957700,-3.472048,1.073486,0.578784,-3.388855,1.156527,0.576107,-3.160686,1.058135,0.581642,-3.116048,1.058087,0.476979,-3.113541,1.062210,0.666492,,,,,,,,,
89,0.247222,0.005833,0.062750,0.008716,-0.997974,-3.250234,1.081813,0.575977,0.000000,-3.472047,1.073667,0.578850,0.938792,-3.388835,1.156685,0.576055,0.949576,-3.160688,1.058242,0.581610,0.924231,-3.116088,1.058073,0.476930,0.897926,-3.113511,1.062396,0.666438,0.971612,-3.472047,1.073667,0.578850,-3.388835,1.156685,0.576055,-3.160688,1.058242,0.581610,-3.116088,1.058073,0.476930,-3.113511,1.062396,0.666438,,,,,,,,,
90,0.250000,0.005137,0.063009,0.009163,-0.997958,-3.250263,1.082029,0.575858,0.000000,-3.472084,1.074058,0.578601,0.934698,-3.388804,1.157013,0.575969,0.963710,-3.160739,1.058379,0.581505,0.929939,-3.116083,1.058325,0.476849,0.884892,-3.113604,1.062372,0.666364,0.955576,-3.472084,1.074058,0.578601,-3.388804,1.157013,0.575969,-3.160739,1.058379,0.581505,-3.116083,1.058325,0.476849,-3.113604,1.062372,0.666364,,,,,,,,,
