Format Version,1.22,Take Name,DavidFail2,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-08-03 09.17.49.319 AM,Total Frames in Take,7056,Total Exported Frames,7056,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
26,0.072222,0.005812,0.062746,0.009095,-0.997971,-3.250264,1.081922,0.576046,0.000000,-3.472083,1.073943,0.578919,0.931972,-3.388808,1.156899,0.576131,0.941790,-3.160736,1.058283,0.581677,0.917572,-3.116136,1.058090,0.476997,0.898110,-3.113555,1.062393,0.666505,0.966982,-3.472083,1.073943,0.578919,-3.388808,1.156899,0.576131,-3.160736,1.058283,0.581677,-3.116136,1.058090,0.476997,-3.113555,1.062393,0.666505,,,,,,,,,
27,0.075000,0.005026,0.062963,0.009832,-0.997955,-3.250328,1.081960,0.575887,0.000000,-3.472159,1.074281,0.578646,0.926624,-3.388769,1.157126,0.576033,0.943777,-3.160835,1.058190,0.581520,0.894426,-3.116188,1.058108,0.476860,0.900467,-3.113688,1.062094,0.666376,0.925221,-3.472159,1.074281,0.578646,-3.388769,1.157126,0.576033,-3.160835,1.058190,0.581520,-3.116188,1.058108,0.476860,-3.113688,1.062094,0.666376,,,,,,,,,
28,0.077778,0.005451,0.062749,0.009087,-0.997973,-3.250331,1.081876,0.575983,0.000000,-3.472149,1.073882,0.578848,0.901756,-3.388880,1.156844,0.576121,0.898469,-3.160801,1.058239,0.581598,0.929530,-3.116201,1.058123,0.476919,0.893348,-3.113622,1.062291,0.666430,0.966938,-3.472149,1.073882,0.578848,-3.388880,1.156844,0.576121,-3.160801,1.058239,0.581598,-3.116201,1.058123,0.476919,-3.113622,1.062291,0.666430,,,,,,,,,
29,0.080556,0.005944,0.062689,0.008804,-0.997977,-3.250197,1.082050,0.575927,0.000000,-3.472012,1.073947,0.578830,0.901756,-3.388784,1.156948,0.576007,0.898469,-3.160655,1.058463,0.581555,0.929530,-3.116068,1.058264,0.476869,0.893348,-3.113467,1.062626,0.666376,0.966938,-3.472012,1.073947,0.578830,-3.388784,1.156948,0.576007,-3.160655,1.058463,0.581555,-3.116068,1.058264,0.476869,-3.113467,1.062626,0.666376,,,,,,,,,
30,0.083333,0.005721,0.062802,0.008697,-0.997972,-3.250232,1.081915,0.575946,0.000000,-3.472045,1.073757,0.578794,0.938269,-3.388838,1.156780,0.576026,0.958270,-3.160686,1.058348,0.581583,0.919536,-3.116075,1.058204,0.476908,0.889693,-3.113518,1.062485,0.666417,0.963398,-3.472045,1.073757,0.578794,-3.388838,1.156780,0.576026,-3.160686,1.058348,0.581583,-3.116075,1.058204,0.476908,-3.113518,1.062485,0.666417,,,,,,,,,
31,0.086111,0.005341,0.062943,0.009475,-0.997958,-3.250173,1.082051,0.575928,0.000000,-3.471999,1.074224,0.578703,0.901854,-3.388666,1.157124,0.576030,0.945215,-3.160664,1.058344,0.581572,0.919188,-3.116022,1.058223,0.476910,0.919163,-3.113515,1.062338,0.666423,0.980144,-3.471999,1.074224,0.578703,-3.388666,1.157124,0.576030,-3.160664,1.058344,0.581572,-3.116022,1.058223,0.476910,-3.113515,1.062338,0.666423,,,,,,,,,
32,0.088889,0.005723,0.062605,0.009165,-0.997980,-3.250173,1.081959,0.575927,0.000000,-3.471992,1.074009,0.578861,0.934493,-3.388708,1.156954,0.576065,0.951627,-3.160646,1.058308,0.581528,0.924737,-3.116076,1.058128,0.476835,0.898805,-3.113441,1.062396,0.666344,0.971458,-3.471992,1.074009,0.578861,-3.388708,1.156954,0.576065,-3.160646,1.058308,0.581528,-3.116076,1.058128,0.476835,-3.113441,1.062396,0.666344,,,,,,,,,
33,0.091667,0.006234,0.062453,0.008922,-0.997989,-3.250221,1.082044,0.575972,0.000000,-3.472036,1.074004,0.578985,0.932294,-3.388787,1.156981,0.576076,0.957066,-3.160682,1.058436,0.581570,0.914145,-3.116146,1.058166,0.476863,0.887825,-3.113453,1.062633,0.666366,0.955688,-3.472036,1.074004,0.578985,-3.388787,1.156981,0.576076,-3.160682,1.058436,0.581570,-3.116146,1.058166,0.476863,-3.113453,1.062633,0.666366,,,,,,,,,
34,0.094444,0.005600,0.062560,0.008872,-0.997986,-3.250363,1.082027,0.575923,0.000000,-3.472177,1.073943,0.578876,0.932294,-3.388943,1.156938,0.576089,0.957066,-3.160822,1.058428,0.581511,0.914145,-3.116261,1.058297,0.476814,0.887825,-3.113612,1.062527,0.666323,0.955688,-3.472177,1.073943,0.578876,-3.388943,1.156938,0.576089,-3.160822,1.058428,0.581511,-3.116261,1.058297,0.476814,-3.113612,1.062527,0.666323,,,,,,,,,
35,0.097222,0.005335,0.062707,0.009104,-0.997976,-3.250318,1.081965,0.576027,0.000000,-3.472136,1.073975,0.578908,0.883643,-3.388866,1.156936,0.576193,0.935010,-3.160789,1.058325,0.581629,0.893771,-3.116197,1.058233,0.476946,0.922025,-3.113602,1.062356,0.666458,0.932026,-3.472136,1.073975,0.578908,-3.388866,1.156936,0.576193,-3.160789,1.058325,0.581629,-3.116197,1.058233,0.476946,-3.113602,1.062356,0.666458,,,,,,,,,
