Format Version,1.22,Take Name,day 2 front left triangle,Capture Frame Rate,360.000000,Export Frame Rate,360.000000,Capture Start Time,2018-07-20 09.07.29.815 AM,Total Frames in Take,1516,Total Exported Frames,1516,Rotation Type,Quaternion,Length Units,Meters,Coordinate Space,Global

,,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Rigid Body Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker,Marker
35,0.097222,0.005626,0.109561,0.026396,-0.993614,0.233146,0.168530,-2.694791,0.000000,0.220537,0.167586,-2.684729,0.836970,0.180038,0.178319,-2.830571,0.914588,0.317792,0.156712,-2.686244,0.933959,0.214219,0.171504,-2.577621,0.834734,0.220537,0.167586,-2.684729,0.180038,0.178319,-2.830571,0.317792,0.156712,-2.686244,0.214219,0.171504,-2.577621,,,,,,,,,,,,,,,,,,,,,
36,0.100000,0.006565,0.109523,0.027211,-0.993590,0.233202,0.168426,-2.694816,0.000000,0.220592,0.167522,-2.684751,0.846203,0.180096,0.178082,-2.830607,0.960495,0.317827,0.156467,-2.686258,0.921320,0.214293,0.171632,-2.577648,0.936257,0.220592,0.167522,-2.684751,0.180096,0.178082,-2.830607,0.317827,0.156467,-2.686258,0.214293,0.171632,-2.577648,,,,,,,,,,,,,,,,,,,,,
37,0.102778,0.005862,0.109388,0.026737,-0.993622,0.233255,0.168377,-2.694793,0.000000,0.220648,0.167447,-2.684726,0.924266,0.180105,0.178153,-2.830558,0.935758,0.317895,0.156501,-2.686271,0.976440,0.214371,0.171410,-2.577616,0.865845,0.220648,0.167447,-2.684726,0.180105,0.178153,-2.830558,0.317895,0.156501,-2.686271,0.214371,0.171410,-2.577616,,,,,,,,,,,,,,,,,,,,,
38,0.105556,0.005006,0.108836,0.027459,-0.993668,0.233162,0.168336,-2.694830,0.000000,0.220565,0.167401,-2.684752,0.924266,0.179881,0.178434,-2.830520,0.935758,0.317796,0.156337,-2.686420,0.976440,0.214405,0.171171,-2.577628,0.865845,0.220565,0.167401,-2.684752,0.179881,0.178434,-2.830520,0.317796,0.156337,-2.686420,0.214405,0.171171,-2.577628,,,,,,,,,,,,,,,,,,,,,
39,0.108333,0.006272,0.109748,0.026449,-0.993588,0.233188,0.168439,-2.694785,0.000000,0.220575,0.167511,-2.684726,0.920314,0.180128,0.178066,-2.830596,0.932248,0.317828,0.156610,-2.686194,0.974830,0.214221,0.171567,-2.577625,0.854647,0.220575,0.167511,-2.684726,0.180128,0.178066,-2.830596,0.317828,0.156610,-2.686194,0.214221,0.171567,-2.577625,,,,,,,,,,,,,,,,,,,,,
40,0.111111,0.004986,0.108911,0.028026,-0.993644,0.233125,0.168250,-2.694813,0.000000,0.220525,0.167328,-2.684737,0.920314,0.179878,0.178430,-2.830511,0.932248,0.317744,0.156155,-2.686392,0.974830,0.214352,0.171087,-2.577614,0.854647,0.220525,0.167328,-2.684737,0.179878,0.178430,-2.830511,0.317744,0.156155,-2.686392,0.214352,0.171087,-2.577614,,,,,,,,,,,,,,,,,,,,,
41,0.113889,0.005818,0.109428,0.027016,-0.993611,0.233191,0.168335,-2.694816,0.000000,0.220583,0.167410,-2.684750,0.919122,0.180059,0.178159,-2.830584,0.928113,0.317824,0.156411,-2.686288,0.960239,0.214299,0.171361,-2.577641,0.864035,0.220583,0.167410,-2.684750,0.180059,0.178159,-2.830584,0.317824,0.156411,-2.686288,0.214299,0.171361,-2.577641,,,,,,,,,,,,,,,,,,,,,
42,0.116667,0.005874,0.109414,0.027363,-0.993602,0.233215,0.168384,-2.694858,0.000000,0.220607,0.167468,-2.684792,0.827339,0.180086,0.178241,-2.830626,0.911974,0.317840,0.156400,-2.686333,0.926494,0.214328,0.171427,-2.577683,0.837884,0.220607,0.167468,-2.684792,0.180086,0.178241,-2.830626,0.317840,0.156400,-2.686333,0.214328,0.171427,-2.577683,,,,,,,,,,,,,,,,,,,,,
43,0.119444,0.006286,0.109150,0.028732,-0.993590,0.233041,0.168372,-2.694746,0.000000,0.220435,0.167496,-2.684673,0.827339,0.179868,0.178309,-2.830491,0.911974,0.317636,0.156154,-2.686259,0.926494,0.214224,0.171527,-2.577562,0.837884,0.220435,0.167496,-2.684673,0.179868,0.178309,-2.830491,0.317636,0.156154,-2.686259,0.214224,0.171527,-2.577562,,,,,,,,,,,,,,,,,,,,,
44,0.122222,0.004629,0.109289,0.026411,-0.993648,0.233185,0.168450,-2.694774,0.000000,0.220580,0.167483,-2.684707,0.827356,0.180007,0.178500,-2.830508,0.913680,0.317837,0.156630,-2.686292,0.930800,0.214314,0.171186,-2.577588,0.837900,0.220580,0.167483,-2.684707,0.180007,0.178500,-2.830508,0.317837,0.156630,-2.686292,0.214314,0.171186,-2.577588,,,,,,,,,,,,,,,,,,,,,
